year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,160,852,84.19
2003,1088,187,901,82.81
2004,1087,188,899,82.70
2005,1038,165,873,84.10
2006,1069,166,903,84.47
2007,1058,132,926,87.52
2008,1061,134,927,87.37
2009,1094,138,956,87.39
2010,1050,116,934,88.95
2011,1057,105,952,90.07
2012,1059,99,960,90.65
2013,1042,85,957,91.84
2014,1014,77,937,92.41
2015,1011,67,944,93.37
2016,1076,61,1015,94.33
2017,1043,45,998,95.69
2018,1090,39,1051,96.42
2019,1038,41,997,96.05
2020,967,19,948,98.04
